groups	p-value
['TP53', 'KRAS', 'MECOM']	1.824712879737092e-08
['TP53', 'KRAS', 'DICER1']	2.055911275316818e-08
['TP53', 'KRAS', 'MET']	8.494295761487461e-09
['TP53', 'KRAS', 'IL7R']	2.9680992919172017e-07
['TP53', 'KRAS', 'ALK']	2.4827173994741762e-05
['TP53', 'KRAS', 'CHD3']	2.7579918236514306e-07
['TP53', 'KRAS', 'USP9X']	1.5697985220450987e-05
['TP53', 'KRAS', 'ZFHX3']	1.0162915146477069e-07
['TP53', 'KRAS', 'RASA1']	8.076834467351887e-08
['TP53', 'KRAS', 'JAK3']	1.4578331555270498e-08
['TP53', 'KRAS', 'ACVR2A']	1.6351209880540292e-07
['TP53', 'KRAS', 'SMC3']	7.595338815608517e-08
['TP53', 'KRAS', 'PIK3CB']	1.791602950523987e-08
['TP53', 'KRAS', 'FGFR2']	1.5047758440128292e-07
['TP53', 'KRAS', 'NOTCH2']	4.288368621747391e-06
['TP53', 'KRAS', 'LZTR1']	1.2231467093474812e-07
['TP53', 'KRAS', 'FBXW7', 'SPTA1']	0.16472995291305564
['TP53', 'KRAS', 'ZFP36L1']	3.810663223042481e-09
['TP53', 'KRAS', 'CYLD']	1.9808633986107086e-06
['TP53', 'KRAS', 'NCOR1']	4.079751867210835e-06
['TP53', 'KRAS', 'GNAS']	1.1522082775096889e-05
['TP53', 'KRAS', 'CHD8']	2.209418209215353e-06
['TP53', 'KRAS', 'KDM5C']	4.617655975390373e-09
['TP53', 'KRAS', 'SETD2']	5.446257064095746e-07
['TP53', 'KRAS', 'KMT2C']	0.0006802984558003318
['TP53', 'KRAS', 'PLXNB2']	5.043113538739584e-06
['TP53', 'KRAS', 'PTEN']	9.328110391339948e-07
['TP53', 'KRAS', 'ZBTB20']	1.1092919544935664e-07
['TP53', 'KRAS', 'NIPBL']	1.630397452679935e-05
['TP53', 'KRAS', 'POLQ']	2.92586201593202e-05
['TP53', 'KRAS', 'MAP3K1']	2.1068524130318778e-07
['TP53', 'KRAS', 'LATS2']	1.054329554180993e-06
['TP53', 'KRAS', 'MSH3']	1.085313785911014e-06
['TP53', 'KRAS', 'NF1']	1.043066410212549e-06
['TP53', 'KRAS', 'PTPRD']	2.3502287103599873e-05
['TP53', 'KRAS', 'CNBD1']	1.6703175490687552e-07
['TP53', 'KRAS', 'RET']	2.2176114375949717e-08
['TP53', 'KRAS', 'NOTCH1', 'PIK3R1']	0.001217087931340565
['TP53', 'KRAS', 'NOTCH1', 'EPHA3']	0.025243469435587078
['TP53', 'KRAS', 'NOTCH1', 'ERBB4']	0.10628412641075893
['TP53', 'KRAS', 'NOTCH1', 'SPTA1']	0.07898624216077363
['TP53', 'KRAS', 'SCAF4']	5.130198617970756e-06
['TP53', 'KRAS', 'TSC2']	3.0134839015016816e-07
['TP53', 'KRAS', 'KMT2D']	7.092692896075392e-05
['TP53', 'KRAS', 'HLA-A']	1.02841204738411e-08
['TP53', 'KRAS', 'JAK1']	3.4698766759402454e-07
['TP53', 'KRAS', 'SMARCA4']	1.245040789277674e-06
['TP53', 'KRAS', 'SETBP1']	3.4471457714209175e-06
['TP53', 'KRAS', 'KIT']	7.388255662156552e-07
['TP53', 'KRAS', 'EGFR']	4.0127698400556134e-06
['TP53', 'KRAS', 'MUC6']	2.4000431736894845e-05
['TP53', 'KRAS', 'PBRM1']	1.7537633218093497e-08
['TP53', 'KRAS', 'KMT2A']	6.908630354188212e-07
['TP53', 'KRAS', 'MSH6']	5.922011145399548e-06
['TP53', 'KRAS', 'RFC1']	6.242535483119084e-06
['TP53', 'KRAS', 'ARID2']	1.2517203128362881e-06
['TP53', 'KRAS', 'KANSL1']	2.1677957712683107e-07
['TP53', 'KRAS', 'MTOR']	6.703846796158116e-06
['TP53', 'KRAS', 'ABL1']	8.705615837624196e-08
['TP53', 'KRAS', 'EP300']	1.7686791240385171e-06
['TP53', 'TSC1']	0.00019918993892038578
['TP53', 'RHOA', 'EPHA2']	1.509220525452885e-13
['TP53', 'RHOA', 'PTCH1']	3.388647760324461e-10
['TP53', 'RHOA', 'KMT2C']	5.451429730330756e-14
['TP53', 'RHOA', 'PLXNB2']	2.661861537786916e-09
['TP53', 'RHOA', 'PBRM1']	3.412362455684537e-12
['TP53', 'RHOA', 'RASA1']	1.5777191888090578e-07
['TP53', 'RHOA', 'PDS5B']	1.330336621706299e-10
['TP53', 'RHOA', 'SMARCA4']	8.169608103329842e-11
['TP53', 'RHOA', 'CREBBP']	1.6012267002609466e-11
['TP53', 'RHOA', 'ABL1']	2.9045365816503778e-11
['TP53', 'RHOA', 'MUC6']	6.255673747948172e-09
['TP53', 'RHOA', 'EP300']	6.19258048605845e-09
['TP53', 'ALB']	0.00032897393358509886
['TP53', 'SMARCB1']	0.00018555194859586483
['TP53', 'B2M']	2.8774422308058404e-08
['TP53', 'SOX9', 'KIF1A', 'DMD']	0.000331762528817039
['TP53', 'SOX9', 'MTOR']	2.989167600385754e-11
['TP53', 'SOX9', 'CDK12']	2.7722240973938944e-10
['TP53', 'SOX9', 'ALK']	1.4745437510000021e-08
['TP53', 'SOX9', 'USP9X']	1.8021155271346234e-10
['TP53', 'SOX9', 'PIK3CB']	5.919499776650666e-11
['TP53', 'SOX9', 'LATS1']	3.025473887371177e-10
['TP53', 'SOX9', 'LZTR1']	1.968098353417082e-10
['TP53', 'SOX9', 'CYLD']	4.77335596763177e-10
['TP53', 'SOX9', 'RPL22']	6.847434492603402e-14
['TP53', 'SOX9', 'POLQ']	4.831294209946519e-09
['TP53', 'SOX9', 'ATR']	2.1700592889951567e-08
['TP53', 'SOX9', 'ERBB2', 'DMD']	1.727285432513021e-05
['TP53', 'SOX9', 'ERBB2', 'APOB']	1.7500095990909618e-06
['TP53', 'SOX9', 'EGFR']	9.104642664372345e-09
['TP53', 'SOX9', 'EPHA3', 'NOTCH1']	1.0773560743724091e-05
['TP53', 'SOX9', 'KANSL1']	4.881287983370891e-13
['TP53', 'SOX9', 'DICER1']	1.255951025149372e-10
['TP53', 'SOX9', 'DNMT3A']	2.441981058869359e-11
['TP53', 'SOX9', 'POLE']	3.1727045151142322e-12
['TP53', 'SOX9', 'TET2']	7.557968447234338e-10
['TP53', 'SOX9', 'EP300']	4.1514956102166294e-10
['TP53', 'PPM1D']	0.00039211914461023646
['TP53', 'ARID5B']	0.00048050491744728907
['TP53', 'FGFR1']	9.296169042688407e-05
['TP53', 'GATA3']	4.2558206465935794e-05
['TP53', 'PDGFRA']	9.815408214362787e-08
['TP53', 'GRIN2D']	4.6052172040768925e-05
['RB1', 'KRAS']	6.048005844348689e-05
['RB1', 'SMAD4']	0.000686926964123043
['CUL1', 'SOX9']	0.00012894028706421238
['CUL1', 'KRAS']	0.0001418329921151716
['XPO1', 'SMAD4']	0.0003980779407121437
['FLT3', 'KRAS']	0.00029338465443083536
['ERCC2', 'KRAS']	2.2987772242217542e-05
['WT1', 'SOX9', 'SMAD4']	4.7267667893287533e-07
['TBX3', 'CDH1']	3.537170052938167e-05
